VALUES,ACTIONS,ARGUMENTS,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DS0,DS1,DS2,DS3,DSCORE,CS0,CS1,CS2,CS3,CSCORE
2,2,2,224.0,0.552,0.112,0.0,0.06,0.492,0.552,444.0,0.0,0.0,0.112,0.112
2,2,4,214.0,0.572,0.204,0.006,0.09,0.476,0.572,398.0,0.002,0.03,0.172,0.204
2,2,6,262.0,0.476,0.192,0.01,0.11,0.356,0.476,404.0,0.006,0.054,0.132,0.192
2,2,8,314.0,0.372,0.184,0.01,0.098,0.264,0.372,408.0,0.004,0.044,0.136,0.184
2,4,2,198.0,0.604,0.064,0.0,0.026,0.578,0.604,468.0,0.0,0.0,0.064,0.064
2,4,4,138.0,0.724,0.136,0.0,0.092,0.632,0.724,432.0,0.0,0.008,0.128,0.136
2,4,6,144.0,0.712,0.154,0.008,0.14,0.564,0.712,423.0,0.0,0.024,0.13,0.154
2,4,8,149.0,0.702,0.238,0.002,0.136,0.564,0.702,381.0,0.002,0.036,0.2,0.238
2,4,10,181.0,0.638,0.244,0.008,0.14,0.49,0.638,378.0,0.0,0.054,0.19,0.244
2,4,12,157.0,0.686,0.292,0.036,0.174,0.476,0.686,354.0,0.016,0.08,0.196,0.292
2,4,14,181.0,0.638,0.262,0.046,0.128,0.464,0.638,369.0,0.02,0.044,0.198,0.262
2,4,16,186.0,0.628,0.294,0.03,0.148,0.45,0.628,353.0,0.014,0.068,0.212,0.294
2,6,2,173.0,0.654,0.044,0.0,0.04,0.614,0.654,478.0,0.0,0.0,0.044,0.044
2,6,4,133.0,0.734,0.098,0.0,0.114,0.62,0.734,451.0,0.0,0.006,0.092,0.098
2,6,6,80.0,0.84,0.184,0.004,0.19,0.646,0.84,408.0,0.0,0.038,0.146,0.184
2,6,8,102.0,0.796,0.202,0.006,0.168,0.622,0.796,399.0,0.0,0.026,0.176,0.202
2,6,10,88.0,0.824,0.232,0.014,0.19,0.62,0.824,384.0,0.002,0.042,0.188,0.232
2,6,12,97.0,0.806,0.264,0.022,0.184,0.6,0.806,368.0,0.004,0.04,0.22,0.264
2,6,14,107.0,0.786,0.32,0.02,0.176,0.59,0.786,340.0,0.012,0.062,0.246,0.32
2,6,16,104.0,0.792,0.306,0.02,0.174,0.598,0.792,347.0,0.012,0.06,0.234,0.306
2,6,18,118.0,0.764,0.324,0.036,0.196,0.532,0.764,338.0,0.016,0.092,0.216,0.324
2,6,20,118.0,0.764,0.316,0.026,0.18,0.558,0.764,342.0,0.016,0.068,0.232,0.316
2,6,22,137.0,0.726,0.302,0.026,0.198,0.502,0.726,349.0,0.014,0.088,0.2,0.302
2,6,24,129.0,0.742,0.396,0.032,0.18,0.53,0.742,302.0,0.03,0.108,0.258,0.396
2,8,2,163.0,0.674,0.03,0.0,0.032,0.642,0.674,485.0,0.0,0.0,0.03,0.03
2,8,4,89.0,0.822,0.08,0.0,0.144,0.678,0.822,460.0,0.0,0.006,0.074,0.08
2,8,6,97.0,0.806,0.128,0.0,0.128,0.678,0.806,436.0,0.0,0.01,0.118,0.128
2,8,8,90.0,0.82,0.192,0.006,0.164,0.65,0.82,404.0,0.0,0.022,0.17,0.192
2,8,10,76.0,0.848,0.214,0.004,0.196,0.648,0.848,393.0,0.0,0.036,0.178,0.214
2,8,12,90.0,0.82,0.194,0.012,0.184,0.624,0.82,403.0,0.0,0.034,0.16,0.194
2,8,14,89.0,0.822,0.246,0.012,0.174,0.636,0.822,377.0,0.0,0.068,0.178,0.246
2,8,16,80.0,0.84,0.32,0.014,0.18,0.646,0.84,340.0,0.006,0.052,0.262,0.32
2,8,18,86.0,0.828,0.326,0.002,0.194,0.632,0.828,337.0,0.0,0.084,0.242,0.326
2,8,20,85.0,0.83,0.356,0.012,0.192,0.626,0.83,322.0,0.006,0.074,0.276,0.356
2,8,22,77.0,0.846,0.376,0.026,0.188,0.632,0.846,312.0,0.014,0.09,0.272,0.376
2,8,24,100.0,0.8,0.376,0.024,0.22,0.556,0.8,312.0,0.014,0.126,0.236,0.376
2,8,26,81.0,0.838,0.394,0.036,0.196,0.606,0.838,303.0,0.02,0.094,0.28,0.394
2,8,28,84.0,0.832,0.398,0.016,0.198,0.618,0.832,301.0,0.014,0.094,0.29,0.398
2,8,30,91.0,0.818,0.45,0.048,0.22,0.55,0.818,275.0,0.044,0.132,0.274,0.45
2,8,32,104.0,0.792,0.376,0.048,0.192,0.552,0.792,312.0,0.038,0.11,0.228,0.376
2,10,2,167.0,0.666,0.018,0.0,0.042,0.624,0.666,491.0,0.0,0.0,0.018,0.018
2,10,4,100.0,0.8,0.072,0.002,0.124,0.674,0.8,464.0,0.0,0.006,0.066,0.072
2,10,6,106.0,0.788,0.126,0.0,0.148,0.64,0.788,437.0,0.0,0.004,0.122,0.126
2,10,8,89.0,0.822,0.162,0.004,0.168,0.65,0.822,419.0,0.002,0.014,0.146,0.162
2,10,10,77.0,0.846,0.178,0.006,0.182,0.658,0.846,411.0,0.002,0.02,0.156,0.178
2,10,12,77.0,0.846,0.226,0.008,0.164,0.674,0.846,387.0,0.0,0.032,0.194,0.226
2,10,14,71.0,0.858,0.22,0.012,0.168,0.678,0.858,390.0,0.002,0.028,0.19,0.22
2,10,16,79.0,0.842,0.258,0.004,0.164,0.674,0.842,371.0,0.004,0.044,0.21,0.258
2,10,18,81.0,0.838,0.322,0.012,0.152,0.674,0.838,339.0,0.004,0.052,0.266,0.322
2,10,20,63.0,0.874,0.35,0.008,0.184,0.682,0.874,325.0,0.006,0.076,0.268,0.35
2,10,22,76.0,0.848,0.334,0.018,0.184,0.646,0.848,333.0,0.008,0.068,0.258,0.334
2,10,24,85.0,0.83,0.368,0.014,0.206,0.61,0.83,316.0,0.002,0.082,0.284,0.368
2,10,26,81.0,0.838,0.338,0.016,0.198,0.624,0.838,331.0,0.024,0.068,0.246,0.338
2,10,28,69.0,0.862,0.418,0.016,0.192,0.654,0.862,291.0,0.006,0.088,0.324,0.418
2,10,30,64.0,0.872,0.426,0.028,0.204,0.64,0.872,287.0,0.016,0.102,0.308,0.426
2,10,32,52.0,0.896,0.452,0.028,0.208,0.66,0.896,274.0,0.016,0.114,0.322,0.452
2,10,34,69.0,0.862,0.444,0.022,0.226,0.614,0.862,278.0,0.02,0.122,0.302,0.444
2,10,36,63.0,0.874,0.482,0.042,0.208,0.624,0.874,259.0,0.022,0.13,0.33,0.482
2,10,38,65.0,0.87,0.444,0.048,0.204,0.618,0.87,278.0,0.04,0.126,0.278,0.444
2,10,40,82.0,0.836,0.466,0.038,0.216,0.582,0.836,267.0,0.042,0.13,0.294,0.466
4,2,2,216.0,0.568,0.116,0.0,0.066,0.502,0.568,442.0,0.0,0.0,0.116,0.116
4,2,4,212.0,0.576,0.2,0.016,0.142,0.418,0.576,400.0,0.002,0.032,0.166,0.2
4,2,6,238.0,0.524,0.208,0.024,0.14,0.36,0.524,396.0,0.008,0.046,0.154,0.208
4,2,8,260.0,0.48,0.222,0.03,0.166,0.284,0.48,389.0,0.018,0.056,0.148,0.222
4,2,10,267.0,0.466,0.248,0.032,0.156,0.278,0.466,376.0,0.016,0.076,0.156,0.248
4,2,12,295.0,0.41,0.212,0.024,0.156,0.23,0.41,394.0,0.014,0.08,0.118,0.212
4,2,14,301.0,0.398,0.23,0.066,0.14,0.192,0.398,385.0,0.048,0.074,0.108,0.23
4,2,16,316.0,0.368,0.196,0.046,0.132,0.19,0.368,402.0,0.038,0.076,0.082,0.196
4,4,2,177.0,0.646,0.068,0.0,0.068,0.578,0.646,466.0,0.0,0.0,0.068,0.068
4,4,4,145.0,0.71,0.12,0.01,0.156,0.544,0.71,440.0,0.0,0.014,0.106,0.12
4,4,6,165.0,0.67,0.158,0.014,0.202,0.454,0.67,421.0,0.002,0.032,0.124,0.158
4,4,8,149.0,0.702,0.236,0.016,0.256,0.43,0.702,382.0,0.006,0.076,0.154,0.236
4,4,10,159.0,0.682,0.222,0.032,0.224,0.426,0.682,389.0,0.004,0.064,0.154,0.222
4,4,12,159.0,0.682,0.254,0.03,0.226,0.426,0.682,373.0,0.016,0.082,0.156,0.254
4,4,14,168.0,0.664,0.252,0.034,0.2,0.43,0.664,374.0,0.016,0.092,0.144,0.252
4,4,16,165.0,0.67,0.26,0.044,0.254,0.372,0.67,370.0,0.016,0.072,0.172,0.26
4,4,18,191.0,0.618,0.232,0.036,0.246,0.336,0.618,384.0,0.014,0.088,0.13,0.232
4,4,20,191.0,0.618,0.286,0.044,0.188,0.386,0.618,357.0,0.024,0.084,0.178,0.286
4,4,22,179.0,0.642,0.294,0.028,0.206,0.408,0.642,353.0,0.006,0.106,0.182,0.294
4,4,24,201.0,0.598,0.292,0.038,0.202,0.358,0.598,354.0,0.026,0.094,0.172,0.292
4,4,26,202.0,0.596,0.292,0.046,0.242,0.308,0.596,354.0,0.016,0.128,0.148,0.292
4,4,28,207.0,0.586,0.308,0.066,0.216,0.304,0.586,346.0,0.044,0.122,0.142,0.308
4,4,30,224.0,0.552,0.26,0.072,0.188,0.292,0.552,370.0,0.038,0.094,0.128,0.26
4,4,32,215.0,0.57,0.262,0.052,0.246,0.272,0.57,369.0,0.034,0.126,0.102,0.262
4,6,2,172.0,0.656,0.054,0.0,0.058,0.598,0.656,473.0,0.0,0.0,0.054,0.054
4,6,4,121.0,0.758,0.104,0.008,0.172,0.578,0.758,448.0,0.0,0.012,0.092,0.104
4,6,6,135.0,0.73,0.136,0.016,0.214,0.5,0.73,432.0,0.002,0.03,0.104,0.136
4,6,8,130.0,0.74,0.164,0.024,0.254,0.462,0.74,418.0,0.002,0.036,0.126,0.164
4,6,10,132.0,0.736,0.204,0.038,0.278,0.42,0.736,398.0,0.006,0.058,0.14,0.204
4,6,12,147.0,0.706,0.202,0.026,0.254,0.426,0.706,399.0,0.008,0.066,0.128,0.202
4,6,14,148.0,0.704,0.228,0.016,0.258,0.43,0.704,386.0,0.008,0.082,0.138,0.228
4,6,16,138.0,0.724,0.242,0.03,0.278,0.416,0.724,379.0,0.006,0.078,0.158,0.242
4,6,18,146.0,0.708,0.272,0.024,0.23,0.454,0.708,364.0,0.008,0.08,0.184,0.272
4,6,20,155.0,0.69,0.246,0.032,0.246,0.412,0.69,377.0,0.024,0.074,0.148,0.246
4,6,22,150.0,0.7,0.276,0.032,0.242,0.426,0.7,362.0,0.008,0.088,0.18,0.276
4,6,24,144.0,0.712,0.266,0.018,0.254,0.44,0.712,367.0,0.01,0.068,0.188,0.266
4,6,26,143.0,0.714,0.31,0.046,0.226,0.442,0.714,345.0,0.024,0.092,0.194,0.31
4,6,28,162.0,0.676,0.272,0.028,0.212,0.436,0.676,364.0,0.014,0.082,0.176,0.272
4,6,30,161.0,0.678,0.31,0.04,0.234,0.404,0.678,345.0,0.018,0.116,0.176,0.31
4,6,32,160.0,0.68,0.298,0.042,0.224,0.414,0.68,351.0,0.02,0.114,0.164,0.298
4,6,34,172.0,0.656,0.3,0.048,0.208,0.4,0.656,350.0,0.028,0.108,0.164,0.3
4,6,36,150.0,0.7,0.326,0.056,0.238,0.406,0.7,337.0,0.032,0.11,0.184,0.326
4,6,38,146.0,0.708,0.354,0.034,0.28,0.394,0.708,323.0,0.016,0.138,0.2,0.354
4,6,40,160.0,0.68,0.352,0.056,0.254,0.37,0.68,324.0,0.04,0.136,0.176,0.352
4,6,42,165.0,0.67,0.324,0.066,0.236,0.368,0.67,338.0,0.048,0.116,0.16,0.324
4,6,44,178.0,0.644,0.31,0.062,0.242,0.34,0.644,345.0,0.038,0.134,0.138,0.31
4,6,46,163.0,0.674,0.346,0.058,0.236,0.38,0.674,327.0,0.046,0.136,0.164,0.346
4,6,48,169.0,0.662,0.31,0.074,0.25,0.338,0.662,345.0,0.034,0.122,0.154,0.31
4,8,2,158.0,0.684,0.024,0.0,0.05,0.634,0.684,488.0,0.0,0.0,0.024,0.024
4,8,4,125.0,0.75,0.054,0.008,0.164,0.578,0.75,473.0,0.0,0.006,0.048,0.054
4,8,6,109.0,0.782,0.118,0.018,0.268,0.496,0.782,441.0,0.002,0.024,0.092,0.118
4,8,8,144.0,0.712,0.13,0.018,0.246,0.448,0.712,435.0,0.0,0.048,0.082,0.13
4,8,10,139.0,0.722,0.14,0.022,0.246,0.454,0.722,430.0,0.006,0.034,0.1,0.14
4,8,12,138.0,0.724,0.202,0.024,0.238,0.462,0.724,399.0,0.0,0.052,0.15,0.202
4,8,14,135.0,0.73,0.184,0.026,0.238,0.466,0.73,408.0,0.004,0.05,0.13,0.184
4,8,16,165.0,0.67,0.156,0.024,0.2,0.446,0.67,422.0,0.004,0.04,0.112,0.156
4,8,18,136.0,0.728,0.222,0.032,0.274,0.422,0.728,389.0,0.01,0.076,0.136,0.222
4,8,20,162.0,0.676,0.2,0.014,0.218,0.444,0.676,400.0,0.008,0.062,0.13,0.2
4,8,22,147.0,0.706,0.256,0.02,0.192,0.494,0.706,372.0,0.008,0.072,0.176,0.256
4,8,24,135.0,0.73,0.24,0.024,0.238,0.468,0.73,380.0,0.014,0.066,0.16,0.24
4,8,26,164.0,0.672,0.236,0.034,0.218,0.42,0.672,382.0,0.006,0.07,0.16,0.236
4,8,28,135.0,0.73,0.28,0.018,0.248,0.464,0.73,360.0,0.01,0.09,0.18,0.28
4,8,30,114.0,0.772,0.34,0.02,0.252,0.5,0.772,330.0,0.014,0.108,0.218,0.34
4,8,32,132.0,0.736,0.338,0.042,0.232,0.462,0.736,331.0,0.02,0.092,0.226,0.338
4,8,34,135.0,0.73,0.268,0.03,0.25,0.45,0.73,366.0,0.02,0.09,0.158,0.268
4,8,36,119.0,0.762,0.338,0.04,0.262,0.46,0.762,331.0,0.03,0.102,0.206,0.338
4,8,38,115.0,0.77,0.35,0.04,0.246,0.484,0.77,325.0,0.016,0.14,0.194,0.35
4,8,40,137.0,0.726,0.344,0.03,0.248,0.448,0.726,328.0,0.018,0.142,0.184,0.344
4,8,42,125.0,0.75,0.34,0.05,0.262,0.438,0.75,330.0,0.03,0.136,0.174,0.34
4,8,44,130.0,0.74,0.346,0.052,0.23,0.458,0.74,327.0,0.024,0.126,0.196,0.346
4,8,46,144.0,0.712,0.292,0.05,0.26,0.402,0.712,354.0,0.028,0.112,0.152,0.292
4,8,48,142.0,0.716,0.32,0.048,0.272,0.396,0.716,340.0,0.028,0.114,0.178,0.32
4,8,50,133.0,0.734,0.352,0.066,0.268,0.4,0.734,324.0,0.04,0.138,0.174,0.352
4,8,52,120.0,0.76,0.388,0.064,0.212,0.484,0.76,306.0,0.044,0.108,0.236,0.388
4,8,54,123.0,0.754,0.416,0.062,0.24,0.452,0.754,292.0,0.056,0.114,0.246,0.416
4,8,56,107.0,0.786,0.386,0.052,0.278,0.456,0.786,307.0,0.044,0.142,0.2,0.386
4,8,58,114.0,0.772,0.428,0.088,0.26,0.424,0.772,286.0,0.054,0.168,0.206,0.428
4,8,60,134.0,0.732,0.378,0.052,0.242,0.438,0.732,311.0,0.04,0.122,0.216,0.378
4,8,62,101.0,0.798,0.446,0.05,0.302,0.446,0.798,277.0,0.038,0.162,0.246,0.446
4,8,64,127.0,0.746,0.4,0.08,0.278,0.388,0.746,300.0,0.062,0.152,0.186,0.4
4,10,2,150.0,0.7,0.016,0.0,0.038,0.662,0.7,492.0,0.0,0.0,0.016,0.016
4,10,4,127.0,0.746,0.06,0.004,0.16,0.582,0.746,470.0,0.0,0.006,0.054,0.06
4,10,6,119.0,0.762,0.084,0.018,0.202,0.542,0.762,458.0,0.002,0.018,0.064,0.084
4,10,8,134.0,0.732,0.104,0.012,0.266,0.454,0.732,448.0,0.004,0.032,0.068,0.104
4,10,10,136.0,0.728,0.13,0.026,0.26,0.442,0.728,435.0,0.002,0.044,0.084,0.13
4,10,12,152.0,0.696,0.17,0.016,0.248,0.432,0.696,415.0,0.006,0.048,0.116,0.17
4,10,14,149.0,0.702,0.174,0.018,0.256,0.428,0.702,413.0,0.002,0.06,0.112,0.174
4,10,16,147.0,0.706,0.186,0.03,0.206,0.47,0.706,407.0,0.006,0.046,0.134,0.186
4,10,18,160.0,0.68,0.152,0.02,0.212,0.448,0.68,424.0,0.002,0.036,0.114,0.152
4,10,20,162.0,0.676,0.188,0.028,0.242,0.406,0.676,406.0,0.004,0.072,0.112,0.188
4,10,22,134.0,0.732,0.208,0.034,0.228,0.47,0.732,396.0,0.008,0.056,0.144,0.208
4,10,24,143.0,0.714,0.224,0.026,0.23,0.458,0.714,388.0,0.008,0.05,0.166,0.224
4,10,26,131.0,0.738,0.23,0.022,0.24,0.476,0.738,385.0,0.004,0.074,0.152,0.23
4,10,28,148.0,0.704,0.236,0.02,0.2,0.484,0.704,382.0,0.008,0.058,0.17,0.236
4,10,30,143.0,0.714,0.252,0.02,0.26,0.434,0.714,374.0,0.004,0.08,0.168,0.252
4,10,32,141.0,0.718,0.262,0.02,0.224,0.474,0.718,369.0,0.008,0.066,0.188,0.262
4,10,34,123.0,0.754,0.288,0.038,0.198,0.518,0.754,356.0,0.022,0.088,0.178,0.288
4,10,36,135.0,0.73,0.306,0.022,0.246,0.462,0.73,347.0,0.012,0.104,0.19,0.306
4,10,38,122.0,0.756,0.326,0.034,0.238,0.484,0.756,337.0,0.028,0.098,0.2,0.326
4,10,40,102.0,0.796,0.352,0.024,0.228,0.544,0.796,324.0,0.02,0.094,0.238,0.352
4,10,42,107.0,0.786,0.352,0.034,0.202,0.55,0.786,324.0,0.028,0.102,0.222,0.352
4,10,44,92.0,0.816,0.362,0.024,0.254,0.538,0.816,319.0,0.008,0.128,0.226,0.362
4,10,46,115.0,0.77,0.33,0.032,0.266,0.472,0.77,335.0,0.016,0.126,0.188,0.33
4,10,48,99.0,0.802,0.348,0.03,0.234,0.538,0.802,326.0,0.02,0.104,0.224,0.348
4,10,50,110.0,0.78,0.374,0.032,0.25,0.498,0.78,313.0,0.01,0.124,0.24,0.374
4,10,52,113.0,0.774,0.388,0.046,0.28,0.448,0.774,306.0,0.032,0.15,0.206,0.388
4,10,54,102.0,0.796,0.398,0.038,0.256,0.502,0.796,301.0,0.03,0.134,0.234,0.398
4,10,56,108.0,0.784,0.404,0.034,0.258,0.492,0.784,298.0,0.042,0.142,0.22,0.404
4,10,58,104.0,0.792,0.414,0.038,0.252,0.502,0.792,293.0,0.022,0.14,0.252,0.414
4,10,60,109.0,0.782,0.412,0.042,0.236,0.504,0.782,294.0,0.032,0.134,0.246,0.412
4,10,62,112.0,0.776,0.384,0.05,0.236,0.49,0.776,308.0,0.036,0.142,0.206,0.384
4,10,64,89.0,0.822,0.456,0.07,0.274,0.478,0.822,272.0,0.05,0.162,0.244,0.456
4,10,66,95.0,0.81,0.46,0.078,0.254,0.478,0.81,270.0,0.048,0.162,0.25,0.46
4,10,68,100.0,0.8,0.454,0.064,0.244,0.492,0.8,273.0,0.028,0.158,0.268,0.454
4,10,70,118.0,0.764,0.458,0.076,0.266,0.422,0.764,271.0,0.05,0.164,0.244,0.458
4,10,72,110.0,0.78,0.426,0.064,0.268,0.448,0.78,287.0,0.052,0.16,0.214,0.426
4,10,74,92.0,0.816,0.49,0.06,0.29,0.466,0.816,255.0,0.04,0.22,0.23,0.49
4,10,76,93.0,0.814,0.414,0.09,0.27,0.454,0.814,293.0,0.064,0.17,0.18,0.414
4,10,78,105.0,0.79,0.476,0.124,0.25,0.416,0.79,262.0,0.104,0.156,0.216,0.476
4,10,80,104.0,0.792,0.472,0.076,0.288,0.428,0.792,264.0,0.062,0.19,0.22,0.472
6,2,2,191.0,0.618,0.126,0.0,0.078,0.54,0.618,437.0,0.0,0.0,0.126,0.126
6,2,4,201.0,0.598,0.204,0.018,0.158,0.422,0.598,398.0,0.004,0.028,0.172,0.204
6,2,6,227.0,0.546,0.196,0.014,0.2,0.332,0.546,402.0,0.002,0.058,0.136,0.196
6,2,8,256.0,0.488,0.186,0.02,0.178,0.29,0.488,407.0,0.006,0.07,0.11,0.186
6,2,10,239.0,0.522,0.228,0.034,0.198,0.29,0.522,386.0,0.012,0.08,0.136,0.228
6,2,12,262.0,0.476,0.242,0.026,0.184,0.266,0.476,379.0,0.006,0.094,0.142,0.242
6,2,14,271.0,0.458,0.222,0.026,0.186,0.246,0.458,389.0,0.006,0.084,0.132,0.222
6,2,16,302.0,0.396,0.228,0.024,0.16,0.212,0.396,386.0,0.012,0.098,0.118,0.228
6,2,18,296.0,0.408,0.214,0.034,0.16,0.214,0.408,393.0,0.02,0.094,0.1,0.214
6,2,20,288.0,0.424,0.22,0.03,0.188,0.206,0.424,390.0,0.014,0.11,0.096,0.22
6,2,22,311.0,0.378,0.25,0.022,0.182,0.174,0.378,375.0,0.012,0.134,0.104,0.25
6,2,24,317.0,0.366,0.214,0.052,0.138,0.176,0.366,393.0,0.03,0.084,0.1,0.214
6,4,2,179.0,0.642,0.064,0.0,0.054,0.588,0.642,468.0,0.0,0.0,0.064,0.064
6,4,4,134.0,0.732,0.146,0.016,0.168,0.548,0.732,427.0,0.002,0.028,0.116,0.146
6,4,6,139.0,0.722,0.18,0.014,0.238,0.47,0.722,410.0,0.006,0.052,0.122,0.18
6,4,8,182.0,0.636,0.162,0.03,0.206,0.4,0.636,419.0,0.006,0.044,0.112,0.162
6,4,10,153.0,0.694,0.226,0.04,0.292,0.362,0.694,387.0,0.01,0.078,0.138,0.226
6,4,12,166.0,0.668,0.222,0.036,0.254,0.378,0.668,389.0,0.002,0.086,0.134,0.222
6,4,14,189.0,0.622,0.224,0.018,0.272,0.332,0.622,388.0,0.008,0.066,0.15,0.224
6,4,16,184.0,0.632,0.21,0.03,0.23,0.372,0.632,395.0,0.006,0.074,0.13,0.21
6,4,18,195.0,0.61,0.25,0.044,0.242,0.324,0.61,375.0,0.014,0.092,0.144,0.25
6,4,20,195.0,0.61,0.236,0.038,0.254,0.318,0.61,382.0,0.016,0.092,0.128,0.236
6,4,22,184.0,0.632,0.226,0.048,0.238,0.346,0.632,387.0,0.014,0.082,0.13,0.226
6,4,24,193.0,0.614,0.26,0.048,0.228,0.338,0.614,370.0,0.022,0.108,0.13,0.26
6,4,26,212.0,0.576,0.238,0.034,0.216,0.326,0.576,381.0,0.014,0.076,0.148,0.238
6,4,28,213.0,0.574,0.262,0.034,0.216,0.324,0.574,369.0,0.016,0.09,0.156,0.262
6,4,30,202.0,0.596,0.284,0.058,0.248,0.29,0.596,358.0,0.032,0.124,0.128,0.284
6,4,32,194.0,0.612,0.298,0.046,0.246,0.32,0.612,351.0,0.022,0.124,0.152,0.298
6,4,34,214.0,0.572,0.276,0.05,0.24,0.282,0.572,362.0,0.016,0.128,0.132,0.276
6,4,36,203.0,0.594,0.31,0.064,0.214,0.316,0.594,345.0,0.04,0.114,0.156,0.31
6,4,38,226.0,0.548,0.276,0.038,0.206,0.304,0.548,362.0,0.022,0.112,0.142,0.276
6,4,40,234.0,0.532,0.266,0.064,0.192,0.276,0.532,367.0,0.028,0.092,0.146,0.266
6,4,42,201.0,0.598,0.288,0.074,0.242,0.282,0.598,356.0,0.044,0.106,0.138,0.288
6,4,44,251.0,0.498,0.256,0.06,0.192,0.246,0.498,372.0,0.034,0.104,0.118,0.256
6,4,46,229.0,0.542,0.292,0.068,0.246,0.228,0.542,354.0,0.046,0.128,0.118,0.292
6,4,48,240.0,0.52,0.27,0.05,0.232,0.238,0.52,365.0,0.03,0.112,0.128,0.27
6,6,2,152.0,0.696,0.048,0.0,0.048,0.648,0.696,476.0,0.0,0.0,0.048,0.048
6,6,4,131.0,0.738,0.1,0.006,0.192,0.54,0.738,450.0,0.0,0.018,0.082,0.1
6,6,6,123.0,0.754,0.148,0.024,0.232,0.498,0.754,426.0,0.0,0.034,0.114,0.148
6,6,8,143.0,0.714,0.114,0.02,0.256,0.438,0.714,443.0,0.002,0.03,0.082,0.114
6,6,10,149.0,0.702,0.182,0.026,0.258,0.418,0.702,409.0,0.002,0.058,0.122,0.182
6,6,12,167.0,0.666,0.174,0.034,0.262,0.37,0.666,413.0,0.002,0.064,0.108,0.174
6,6,14,172.0,0.656,0.16,0.024,0.266,0.366,0.656,420.0,0.006,0.054,0.1,0.16
6,6,16,168.0,0.664,0.194,0.032,0.242,0.39,0.664,403.0,0.008,0.06,0.126,0.194
6,6,18,167.0,0.666,0.196,0.03,0.264,0.372,0.666,402.0,0.008,0.064,0.124,0.196
6,6,20,178.0,0.644,0.204,0.044,0.262,0.338,0.644,398.0,0.02,0.088,0.096,0.204
6,6,22,170.0,0.66,0.236,0.026,0.278,0.356,0.66,382.0,0.004,0.086,0.146,0.236
